id,avg_delay,deviation_delay,avg_stop,deviation_stop,max_stop,min_stop
7814,0.0,0.0,60.446096654275095,5.154298888457122,120.0,60.0
7774,11.650485436893204,117.6641352042179,65.26717557251908,27.981134437135108,360.0,60.0
7391,0.0,0.0,60.0,0.0,60.0,60.0
7520,5.874125874125874,31.184734281502696,63.94736842105263,34.18521330728049,360.0,60.0
7163,0.0,0.0,65.62162162162163,21.175395399928476,240.0,60.0
7990,1.5789473684210527,9.604361889944562,69.6774193548387,53.00540879082247,360.0,60.0
7064,0.0,0.0,60.0,0.0,60.0,60.0
7709,0.0,0.0,60.56426332288401,5.7911489598773525,120.0,60.0
7227,0.0,0.0,61.2406015037594,9.296818419271203,180.0,60.0
7187,0.0,0.0,64.52830188679245,15.849056603773583,120.0,60.0
7362,0.0,0.0,61.266490765171504,9.663478076220663,180.0,60.0
7317,4.8,79.45413771478496,62.83387622149837,16.711240603238885,300.0,60.0
7303,0.0,0.0,61.204819277108435,11.343231128616644,240.0,60.0
7725,0.0,0.0,60.375,4.728570079844435,120.0,60.0
7165,0.0,0.0,65.22648083623693,17.64539192697633,180.0,60.0
7586,81.11111111111111,156.27215892257,66.0,32.31098884280702,240.0,60.0
7343,6.331658291457287,89.09432950820371,63.38181818181818,35.00934467932847,840.0,60.0
7561,0.0,0.0,60.625,6.091746465505603,120.0,60.0
7305,0.0,0.0,61.702127659574465,12.935050343464354,240.0,60.0
7308,0.0,0.0,61.358024691358025,13.540345421105236,240.0,60.0
7482,49.473684210526315,136.32290166368063,60.0,0.0,60.0,60.0
7082,0.0,0.0,67.59493670886076,32.18676470949439,300.0,60.0
7168,0.0,0.0,65.14285714285714,20.808161664037822,300.0,60.0
7612,0.0,0.0,73.33333333333333,47.14045207910319,360.0,60.0
7664,4.026845637583893,31.599835678088812,70.3225806451613,31.26204242473735,180.0,60.0
7254,0.0,0.0,63.148148148148145,16.702636083151717,240.0,60.0
7895,0.0,0.0,60.645161290322584,6.188169707500282,120.0,60.0
7541,0.0,0.0,61.29032258064516,12.376339415000562,180.0,60.0
7968,0.0,0.0,61.935483870967744,15.116612275948356,180.0,60.0
7877,0.0,0.0,65.7286432160804,45.64828103527797,660.0,60.0
7652,0.9523809523809523,7.499055118106485,72.22222222222223,46.73275743291797,360.0,60.0
7359,6.666666666666667,91.40872800534741,69.15492957746478,89.17851188902773,1860.0,60.0
7563,0.0,0.0,61.1764705882353,8.318903308077028,120.0,60.0
7125,0.2777777777777778,4.073021749615337,66.18444846292948,20.590258509583382,180.0,60.0
7869,0.0,0.0,60.0,0.0,60.0,60.0
7241,0.0,0.0,64.48330683624802,26.585108695041104,480.0,60.0
7413,1.0404624277456647,7.832316617782331,78.3406113537118,54.161711298714486,360.0,60.0
7036,36.4,194.5945528528483,85.71428571428571,174.13928274780045,1860.0,60.0
7263,0.0,0.0,63.48314606741573,21.908959923595685,360.0,60.0
